Player,Tm2024-25,Pos
Moritz Wagner,ORL,"11000000",C
Chet Holmgren,OKC,"10880640",PF
Chris Boucher,TOR,"10810000",PF
Jarred Vanderbilt,LAL,"10714286",PF
Aaron Wiggins,OKC,"10514017",SG
Chris Paul,SAS,"10460000",PG
Scoot Henderson,POR,"10259160",PG
Isaac Okoro,CLE,"10185186",SG
Scottie Barnes,TOR,"10130980",SF
Reed Sheppard,HOU,"10098960",SG
Mike Conley,MIN,"9975962",PG
Jonas Valančiūnas,WAS,"9900000",C
Alex Caruso,OKC,"9890000",PG
Jabari Smith Jr.,HOU,"9770880",PF
Derrick Jones Jr.,LAC,"9523810",SF
Al Horford,BOS,"9500000",C
Pat Connaughton,MIL,"9423869",SG
Royce O'Neale,PHO,"9375000",SF
T.J. McConnell,IND,"9300000",PG
Amen Thompson,HOU,"9249960",SF
Jalen Suggs,ORL,"9188385",SG
Gary Payton II,GSW,"9130000",PG
Stephon Castle,SAS,"9105120",PG
Tre Jones,SAS,"9104167",PG
Goga Bitadze,ORL,"9057971",C
Zeke Nnaji,DEN,"8888889",PF
Keegan Murray,SAC,"8809560",SF
Buddy Hield,GSW,"8780488",SG
Kyle Anderson,GSW,"8780488",SF
Naji Marshall,DAL,"8571429",SF
Jalen Smith,CHI,"8571429",PF
Georges Niang,CLE,"8500000",PF
Ausar Thompson,DET,"8376000",SF
Josh Giddey,CHI,"8352367",SG
Josh Okogie,PHO,"8250000",SG
Ron Holland,DET,"8245320",SF
Caleb Martin,PHI,"8149001",SF
Cody Martin,CHO,"8120000",SF
Jock Landale,HOU,"8000000",C
Trey Lyles,SAC,"8000000",PF
Jeff Green,HOU,"8000000",PF
Kevon Looney,GSW,"8000000",PF
Kelly Oubre Jr.,PHI,"7983000",SF
Jaden Ivey,DET,"7977240",SG
KJ Martin,PHI,"7975000",SF
Paul Reed,DET,"7723000",PF
Vasilije Micić,CHO,"7723000",PG
Simone Fontecchio,DET,"7692308",SF
Jonathan Kuminga,GSW,"7636307",PF
Anthony Black,ORL,"7607760",PG
Jae'Sean Tate,HOU,"7565217",SF
Gary Harris,ORL,"7500000",SG
Tidjane Salaün,CHO,"7488720",PF
Bennedict Mathurin,IND,"7245720",SG
Max Christie,LAL,"7142857",SG
Franz Wagner,ORL,"7007092",SF
Ayo Dosunmu,CHI,"7000000",SG
Bilal Coulibaly,WAS,"6945240",SF
Donovan Clingan,POR,"6836400",C
Payton Pritchard,BOS,"6696429",SG
Kenrich Williams,OKC,"6669000",PF
Shaedon Sharpe,POR,"6614160",SG
Jevon Carter,CHI,"6500000",PG
Davion Mitchell,TOR,"6451077",PG
Saddiq Bey,WAS,"6440678",SF
Jarace Walker,IND,"6362520",PF
Rob Dillingham,MIN,"6262920",PG
Dean Wade,CLE,"6166667",PF
John Konchar,MEM,"6165000",SG
Ziaire Williams,BRK,"6133005",SF
Dyson Daniels,ATL,"6059520",PG
Precious Achiuwa,NYK,"6000000",C
Malik Beasley,DET,"6000000",SG
Chris Duarte,CHI,"5893768",SG
Taylor Hendricks,UTA,"5848680",PF
Moses Moody,GSW,"5803269",SG
Zach Edey,MEM,"5756880",C
Corey Kispert,WAS,"5705887",SF
Jeremy Sochan,SAS,"5570040",PF
Cason Wallace,OKC,"5555880",SG
Cody Williams,UTA,"5469120",SG
Alperen Sengun,HOU,"5424654",C
Johnny Davis,WAS,"5291160",SG
Jett Howard,ORL,"5278320",SF
Dāvis Bertāns,CHO,"5250000",PF
Haywood Highsmith,MIA,"5200000",SF
Matas Buzelis,CHI,"5195520",SF
Kris Dunn,LAC,"5168000",PG
Dario Šarić,DEN,"5168000",PF
Trey Murphy III,NOP,"5159854",SF
Ousmane Dieng,OKC,"5027040",SF
Dereck Lively II,DAL,"5014560",C
Drew Eubanks,UTA,"5000000",C
Andre Drummond,PHI,"5000000",C
Nick Richards,CHO,"5000000",C
Nikola Topić,OKC,"4935960",PG
Tre Mann,CHO,"4908373",PG
Jalen Williams,OKC,"4775760",SG
Gradey Dick,TOR,"4763760",SG
Jalen McDaniels,SAS,"4741800",SF
Miles McBride,NYK,"4710144",PG
Devin Carter,SAC,"4689000",PG
Nicolas Batum,LAC,"4668000",SF
Aaron Holiday,HOU,"4668000",PG
Jalen Duren,DET,"4536840",C
Jordan Hawkins,NOP,"4525680",SG
Jalen Johnson,ATL,"4510905",SF
Carlton Carrington,WAS,"4454880",PG
Isaiah Jackson,IND,"4435381",PF
Nickeil Alexander-Walker,MIN,"4312500",SG
Ochai Agbaji,TOR,"4310280",SG
Kobe Bufkin,ATL,"4299000",SG
Quentin Grimes,DAL,"4296682",SG
Kel'el Ware,MIA,"4231800",C
Bones Hyland,LAC,"4158439",PG
Mark Williams,CHO,"4094280",C
Keyonte George,UTA,"4084200",SG
Cam Thomas,BRK,"4041249",SG
Jared McCain,PHI,"4020360",PG
Jaden Springer,BOS,"4018363",PG
Dwight Powell,DAL,"4000000",C
Day'Ron Sharpe,BRK,"3989122",C
Santi Aldama,MEM,"3960531",PF
Amir Coffey,LAC,"3938271",SG
Jalen Hood-Schifino,LAL,"3879840",SG
Kevin Love,MIA,"3850000",PF
Dalton Knecht,LAL,"3819120",SF
Tari Eason,HOU,"3695160",SF
Jaime Jaquez Jr.,MIA,"3685800",SF
